name,artist,duration_ms
Perfect Hell,World's First Cinema,193565
Василиса,Woodscream,260417
Viral,Amaranthe,181200
Burning Pipers Hut,Beltaine,288992
Savior - Radio Edit,Bassjackers,170170
Loreley,Blackmore's Night,216280
Красиво,"АнимациЯ, План Ломоносова",276000
Sun Doesn't Rise,Mushroomhead,193813
Luigi's Ballad,Starbomb,148417
Between Angels And Insects,Papa Roach,234466
"Плыли мы по морю, ветер мачту рвал",The Starkillers,189272
Ночная кобыла,Мельница,244173
Judgment Day,Five Finger Death Punch,292804
Dance Sucka!,zebrahead,167506
SHUM,Go_A,172675
My Town,Colt Ford,176631
For The Glory (feat. Hollywood Undead),All Good Things,281197
Don't Worry (with Ray Dalton) - Radio Edit,Various Artists,214120
Roundtable Rival,Lindsey Stirling,203280
The Future Is Now,The Offspring,248413
All Night Long,Rainbow,230533
Milkshake,Goodnight Nurse,148400
The Fox (feat. Rebecca Lynn Howard and Jenee Fleenor) - Bluegrass Tribute to Ylvis,Gwen Sebastian,210562
Butterfly,"Marnik, Hard Lights",170693
Parasite,Disturbed,204826
Hell Yeah,Various Artists,246836
Blinding Lights,The Bunny The Bear,195697
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,186826
bad guy,Billie Eilish,194087
Bring The Madness - Noisestorm Remix,"Pegboard Nerds, Excision",240000
Auld Tavern Song,Faolan,197459
Finish Line,Skillet,206060
Solovey,Go_A,176959
"Dragonborn (From ""The Elder Scrolls V: Skyrim"") - Epic Orchestral Symphonic Metal Cover","Jeremy Soule, Crowcovers",207428
Края Моей Раны,Павел Пиковский,175632
Waste My Hate,Icon For Hire,146550
Make It a Miracle - Harris & Ford Remix,"Marc Korn, Hard But Crazy, Harris & Ford",164531
Gimme Gimme Gimme (A Man After Midnight),Black-Ingvars,243959
Eye of the Tiger,Various Artists,245640
Pacific Rim (feat. Tom Morello),Ramin Djawadi,295426
Face of the Sun,Scott Stapp,189573
Scheiß Liebe,LaFee,223506
Blood Brothers,Papa Roach,213866
Пёс BOSS,Jesse Bravo,192250
Just to Get High,Nickelback,242080
Wonderful Life (Radio Edit) [New Version],Hurts,214546
Вне смерти,Plamenev,224001
Extatum Et Oratum,Powerwolf,236053
Gold Cobra,Limp Bizkit,233533
Hey Ya!,Outkast,235213
Carry On Wayward Son - Single Version,Various Artists,205200
Judas,Fozzy,250792
